t,x,y,z,pen
0.0,0.30075438132656035,0.29920737082025217,0.21280845300886564,1.0
0.03333333333333333,0.3172960673695849,0.2967859837610333,0.2072319010981897,1.0
0.06666666666666667,0.34115733360411415,0.30568248577877544,0.18592529528386015,1.0
0.1,0.34240747117372367,0.2962603532247759,0.2008265195869449,1.0
0.13333333333333333,0.35271648201883365,0.2986872500164047,0.1750817810549387,1.0
0.16666666666666666,0.3789397292051126,0.29673444610285615,0.1936739968726169,1.0
0.2,0.4024697832182448,0.30625508021665604,0.19742930674111933,1.0
0.23333333333333334,0.42486544748996474,0.2960088319590803,0.2070302014018604,1.0
0.26666666666666666,0.43875415442324417,0.30056407378656524,0.18513001501292384,1.0
0.3,0.44446964774244946,0.29725364504599594,0.204403902469401,1.0
0.3333333333333333,0.4606089575654342,0.2987449465507697,0.19681549980171045,1.0
0.36666666666666664,0.48657840684144815,0.30128795473503805,0.20710745418079843,1.0
0.4,0.49607702834349,0.2992223181978434,0.2156795094012266,1.0
0.43333333333333335,0.5256272535379912,0.29244560680737525,0.23027847549478125,1.0
0.4666666666666667,0.541408585876027,0.30468786840420253,0.20528911260658608,1.0
0.5,0.5481164631127814,0.30874812410122177,0.2392051663289993,1.0
0.5333333333333333,0.5774764758858634,0.3078906225884062,0.20714760821317912,1.0
0.5666666666666667,0.5760834215396402,0.2999732752012795,0.21312949870152673,1.0
0.6,0.5922698312175027,0.302370732361092,0.2085972738964446,1.0
0.6333333333333333,0.6208429230104439,0.29289529219945687,0.18676594855921932,1.0
0.6666666666666666,0.630714721850474,0.2929811885533628,0.2347873575426027,1.0
0.7,0.647024535629347,0.3019738177767612,0.19482854909052152,1.0
0.7333333333333333,0.6761675039394793,0.307922165922491,0.2126670524564983,1.0
0.7666666666666667,0.6701122740494533,0.3003121738455593,0.2136737238155307,1.0
0.8,0.706023769455053,0.2962925577317544,0.2364402272665665,1.0
0.8333333333333334,0.6920774141799202,0.29603083186910867,0.21870099976228047,1.0
0.8666666666666667,0.7002943276829519,0.3286810221685382,0.20377038385024931,1.0
0.9,0.6962008354588466,0.3310679523019365,0.1781770776476161,1.0
0.9333333333333333,0.6923339190016803,0.35378246894460935,0.21162331624825612,1.0
